1	10	41	21
2	20	81	41
3	30	121	61
4	40	161	81
5	50	201	101
6	72	289	145
7	98	393	197
8	128	513	257
9	162	649	325
10	200	801	401
11	240	961	481
12	288	1153	577
13	345	1381	691
14	414	1657	829
15	496	1985	993
16	595	2381	1191
17	714	2857	1429
18	856	3425	1713
19	1027	4109	2055
20	1232	4929	2465
21	1453	5813	2907
22	1714	6857	3429
23	2022	8089	4045
24	2385	9541	4771
25	2814	11257	5629
26	3320	13281	6641
27	3917	15669	7835
28	4622	18489	9245
29	5453	21813	10907
30	6434	25737	12869
31	7592	30369	15185
32	8958	35833	17917
33	10570	42281	21141
34	12472	49889	24945
35	14716	58865	29433
36	17364	69457	34729
37	20489	81957	40979
38	24177	96709	48355
39	28528	114113	57057
40	33663	134653	67327
41	39049	156197	78099
42	45296	181185	90593
43	52543	210173	105087
44	60949	243797	121899
45	70700	282801	141401
46	82012	328049	164025
47	95133	380533	190267
48	110354	441417	220709
49	123596	494385	247193
50	138427	553709	276855
51	155038	620153	310077
52	173642	694569	347285
53	194479	777917	388959
54	217816	871265	435633
55	243953	975813	487907
56	273227	1092909	546455
